id,wave,cluster,archetype,funnel,primary_keyword,secondary_keywords,url,title,category,tags,tools,target_words,status
YT-14,2,yt-seo,explainer,TOFU,youtube handle,youtube handle availability; change youtube handle,/blog/youtube-handles,"YouTube Handles: Rules, Availability and Changing Yours",growth,youtube; usernames; explainer,youtube-handle-availability-checker; username-availability-checker; handle-strength-checker,800,planned
YT-15,2,yt-seo,howto,TOFU,how to cite a youtube video,youtube citation apa; cite a video mla,/blog/cite-a-youtube-video,"How to Cite a YouTube Video (APA, MLA, Chicago)",content,youtube; metadata; how-to,youtube-citation-generator,800,planned
YT-16,2,yt-seo,howto,TOFU,search youtube comments,find a comment on youtube; youtube comment search,/blog/search-youtube-comments,How to Search the Comments on a YouTube Video,growth,youtube; analytics-basics; how-to,youtube-comment-finder; fake-youtube-comment-generator,800,planned
YT-17,2,yt-seo,templates,MOFU,youtube upload schedule,how often to post on youtube; youtube content calendar,/blog/youtube-upload-schedule,A YouTube Upload Schedule You Can Actually Keep,content,youtube; posting-schedule; templates,youtube-content-calendar,800,planned
YT-18,2,yt-seo,howto,MOFU,youtube channel description,youtube about section; channel description ideas,/blog/youtube-channel-description,YouTube Channel Description: The First 150 Characters,content,youtube; bio; how-to,youtube-channel-description-generator; social-media-character-counter,800,planned
AU-01,3,engagement,benchmarks,MOFU,social media benchmarks,creator benchmarks; average engagement by platform,/blog/social-media-benchmarks,"Social Media Benchmarks: Engagement, Cadence, Length",analytics,engagement-rate; benchmarks; analytics-basics,engagement-rate-calculator; script-timer,950,planned
ER-01,3,engagement,pillar,MOFU,engagement rate,how to calculate engagement rate; engagement rate formula,/blog/engagement-rate,"Engagement Rate: Every Formula, and Which One to Use",analytics,engagement-rate; analytics-basics; guide,engagement-rate-calculator,1200,planned
ER-02,3,engagement,benchmarks,MOFU,good engagement rate instagram,average instagram engagement rate; instagram engagement benchmark,/blog/good-engagement-rate-instagram,What Counts as a Good Instagram Engagement Rate,analytics,instagram; engagement-rate; benchmarks,engagement-rate-calculator,950,planned
ER-03,3,engagement,benchmarks,MOFU,good engagement rate tiktok,tiktok average engagement; tiktok benchmark,/blog/good-engagement-rate-tiktok,What Counts as a Good TikTok Engagement Rate,analytics,tiktok; engagement-rate; benchmarks,engagement-rate-calculator,800,planned
HT-04,3,hashtags,explainer,TOFU,linkedin hashtags,how many hashtags linkedin; linkedin hashtag strategy,/blog/linkedin-hashtags,"LinkedIn Hashtags: Three, and Why More Hurts",seo,linkedin; hashtags; explainer,hashtag-generator; linkedin-post-preview,800,planned
HT-05,3,hashtags,troubleshooting,TOFU,banned hashtags,broken hashtags instagram; hashtag not working,/blog/banned-hashtags,"Banned, Broken and Dead Hashtags: How to Spot One",seo,hashtags; reach-issues; troubleshooting,hashtag-generator,800,planned
IG-01,3,instagram,pillar,TOFU,instagram growth,how to grow on instagram; instagram strategy,/blog/instagram-growth-guide,"Instagram Growth: The Formats, the Numbers and the Fixes",growth,instagram; guide,engagement-rate-calculator; carousel-splitter; reels-cover-cropper; instagram-bio-preview,1200,planned
IG-02,3,instagram,howto,TOFU,instagram carousel size,seamless carousel instagram; split image for carousel,/blog/instagram-carousel-size,"Instagram Carousel Size, and How to Cut a Seamless One",design,instagram; image-sizes; how-to,carousel-splitter; social-image-resizer,800,planned
IG-03,3,instagram,howto,TOFU,instagram reels cover size,reels cover dimensions; reel thumbnail size,/blog/instagram-reels-cover-size,"Instagram Reels Cover Size: One Image, Two Crops",design,instagram; image-sizes; how-to,reels-cover-cropper; social-image-resizer,800,planned
IG-04,3,instagram,explainer,TOFU,instagram story size,story dimensions; instagram story safe zone,/blog/instagram-story-size,Instagram Story Size and the Zones You Cannot Use,design,instagram; image-sizes; safe-zones; explainer,story-templates-sizer; safe-zone-guide,800,planned
IG-05,3,instagram,templates,TOFU,instagram bio ideas,instagram bio template; bio for instagram,/blog/instagram-bio-ideas,Instagram Bio Ideas That Fit in 150 Characters,content,instagram; bio; templates,instagram-bio-preview; fancy-text-generator; social-media-character-counter,800,planned
YM-05,3,yt-money,explainer,MOFU,youtube shorts monetization,shorts rpm; do shorts make money,/blog/youtube-shorts-monetization,"YouTube Shorts Monetization, and Why the RPM Is Lower",monetization,youtube; monetization; shorts; explainer,youtube-money-calculator; youtube-partner-program-checker,800,planned
YM-06,3,yt-money,explainer,TOFU,1000 subscribers,how long to get 1000 subscribers; youtube milestone,/blog/first-1000-subscribers,"How Long 1,000 Subscribers Takes, at Your Growth Rate",growth,youtube; monetization; explainer,follower-milestone-countdown; youtube-partner-program-checker,800,planned
ER-04,4,engagement,benchmarks,MOFU,youtube engagement rate,good youtube engagement rate; youtube like ratio,/blog/good-engagement-rate-youtube,"Engagement Rate on YouTube, and the Metrics That Beat It",analytics,youtube; engagement-rate; benchmarks,engagement-rate-calculator,800,planned
ER-05,4,engagement,comparison,MOFU,engagement rate by reach,engagement rate by followers; er reach formula,/blog/engagement-rate-by-reach-vs-followers,Engagement by Reach vs by Followers: Why Your Number Moved,analytics,engagement-rate; analytics-basics; comparison,engagement-rate-calculator,800,planned
ER-06,4,engagement,explainer,MOFU,vanity metrics,social media metrics that matter; creator kpis,/blog/vanity-metrics,Vanity Metrics: What Looks Like Progress and Is Not,analytics,analytics-basics; explainer,engagement-rate-calculator; utm-link-builder,800,planned
IG-06,4,instagram,howto,TOFU,instagram fonts,fancy text instagram; instagram bio fonts,/blog/instagram-fonts,Fonts for Instagram Bios That Do Not Break Screen Readers,content,instagram; bio; how-to,fancy-text-generator,800,planned
IG-07,4,instagram,explainer,TOFU,instagram caption length,instagram caption limit; how long should a caption be,/blog/instagram-caption-length,Instagram Caption Length and Where the Fold Lands,content,instagram; captions; explainer,social-media-character-counter; instagram-bio-preview,800,planned
IG-08,4,instagram,howto,MOFU,instagram giveaway rules,how to pick a giveaway winner; giveaway rules template,/blog/instagram-giveaway-rules,Instagram Giveaway Rules That Hold Up,growth,instagram; giveaways; how-to,giveaway-winner-picker,800,planned
IG-09,4,instagram,howto,MOFU,link in bio tracking,utm for instagram bio; track instagram link clicks,/blog/link-in-bio-tracking,Knowing Which Post Sent the Click: Link-in-Bio Tracking,analytics,instagram; utm-tracking; how-to,utm-link-builder; qr-code-generator,800,planned
TT-01,4,tiktok,pillar,TOFU,tiktok growth,how to grow on tiktok; tiktok algorithm,/blog/tiktok-growth-guide,TikTok Growth: What the For You Page Rewards,growth,tiktok; guide,tiktok-money-calculator; engagement-rate-calculator; safe-zone-guide,1200,planned
TT-02,4,tiktok,explainer,MOFU,how much does tiktok pay,tiktok money calculator; tiktok creator fund payout,/blog/how-much-does-tiktok-pay,"How Much Does TikTok Pay, Per 1,000 Views?",monetization,tiktok; monetization; explainer,tiktok-money-calculator; engagement-rate-calculator,950,planned
XT-01,4,x-threads,pillar,TOFU,how to post on x,x character limit; threads vs twitter,/blog/how-to-post-on-x,"How to Post on X and Threads: Limits, Threads, Cards",content,x; threads; guide,social-media-character-counter; x-thread-splitter; link-preview-debugger; threads-post-preview,1200,planned
XT-02,4,x-threads,explainer,TOFU,twitter character limit,x character limit; how many characters in a tweet,/blog/twitter-character-limit,"The Twitter Character Limit on X, Counted Properly",content,x; captions; explainer,social-media-character-counter,800,planned
XT-03,4,x-threads,howto,TOFU,how to write a twitter thread,thread splitter; x thread tips,/blog/how-to-write-a-twitter-thread,How to Write a Twitter Thread That Reads Well,content,x; hooks; how-to,x-thread-splitter; social-media-character-counter,800,planned
XT-04,4,x-threads,troubleshooting,MOFU,link preview not showing,twitter card not working; og image not updating,/blog/link-preview-not-showing,Link Preview Not Showing: The Ordered List of Causes,seo,x; facebook; linkedin; link-previews; troubleshooting,link-preview-debugger,950,planned
AU-02,5,content-ops,explainer,TOFU,creator glossary,social media terms; creator terminology,/blog/creator-glossary,The Creator Metrics Glossary,analytics,analytics-basics; guide,engagement-rate-calculator; utm-link-builder,950,planned
CO-01,5,content-ops,pillar,MOFU,content calendar,social media content calendar; content planning,/blog/content-calendar-guide,A Content Calendar That Survives Contact With a Week,content,posting-schedule; repurposing; guide,youtube-content-calendar; script-timer; headline-analyzer,1200,planned
CO-02,5,content-ops,howto,MOFU,how to write headlines,headline analyzer; headline formulas,/blog/how-to-write-headlines,How to Write Headlines That Are Not a Guess,content,titles; how-to,headline-analyzer; social-media-character-counter,950,planned
CO-03,5,content-ops,explainer,MOFU,readability score,flesch kincaid; readability checker,/blog/readability-score,Readability Score: What It Is Worth for Social Copy,content,captions; explainer,readability-checker; word-counter,800,planned
CO-04,5,content-ops,explainer,MOFU,words per minute speaking,script length for video; video script word count,/blog/words-per-minute-speaking,Words Per Minute Speaking: Script Length by Runtime,content,scripts; shorts; explainer,script-timer; word-counter,800,planned
PI-01,5,pinterest,pillar,TOFU,pinterest seo,pinterest keywords; how to rank on pinterest,/blog/pinterest-seo,Pinterest SEO: It Is a Search Engine Wearing a Feed,seo,pinterest; pinterest-seo; guide,pinterest-pin-seo-checker; pin-image-sizer; pinterest-pin-preview,1200,planned
PI-02,5,pinterest,howto,TOFU,pinterest pin description,pin description ideas; pinterest description keywords,/blog/pinterest-pin-description,Writing a Pin Description Pinterest Can Read,seo,pinterest; pinterest-seo; how-to,pinterest-pin-seo-checker; pinterest-pin-preview,800,planned
PN-01,5,pro-networks,pillar,TOFU,linkedin post,how to post on linkedin; linkedin post length,/blog/linkedin-post-guide,"LinkedIn Post Length, Formats and Reach",content,linkedin; guide,linkedin-post-preview; carousel-splitter; social-media-character-counter,1200,planned
PN-02,5,pro-networks,explainer,TOFU,linkedin see more,linkedin character limit; linkedin post length,/blog/linkedin-see-more,"Where LinkedIn Puts See More, and What to Do About It",content,linkedin; captions; explainer,linkedin-post-preview; social-media-character-counter,800,planned
PN-03,5,pro-networks,howto,MOFU,linkedin carousel,linkedin document post; linkedin pdf post size,/blog/linkedin-carousel,LinkedIn Carousel: A Document Post That Reads on a Phone,design,linkedin; image-sizes; how-to,carousel-splitter; social-image-resizer,800,planned
PN-04,5,pro-networks,explainer,BOFU,facebook ad character limit,facebook ad text length; primary text limit,/blog/facebook-ad-character-limits,"Facebook Ad Character Limits: Text, Headline, Description",content,facebook; captions; explainer,facebook-ad-text-counter; facebook-post-preview,800,planned
TT-03,5,tiktok,explainer,TOFU,tiktok caption length,tiktok character limit; tiktok caption limit,/blog/tiktok-caption-length,TikTok Caption Length and What Fits Above the Fold,content,tiktok; captions; explainer,social-media-character-counter,800,planned
TT-04,5,tiktok,howto,TOFU,tiktok username ideas,tiktok username availability; good tiktok usernames,/blog/tiktok-username-ideas,TikTok Username Ideas You Can Actually Claim,growth,tiktok; usernames; how-to,username-availability-checker; handle-strength-checker,800,planned
XT-05,5,x-threads,howto,TOFU,how to screenshot a tweet,tweet screenshot generator; tweet as image,/blog/screenshot-a-tweet,"How to Screenshot a Tweet, Honestly",design,x; brand-assets; how-to,tweet-screenshot-generator,800,planned
XT-06,5,x-threads,explainer,TOFU,threads character limit,threads post length; threads limit,/blog/threads-character-limit,The Threads 500-Character Limit and the Chain Split,content,threads; captions; explainer,threads-post-preview; social-media-character-counter,800,planned
XT-07,5,x-threads,templates,TOFU,threads bio ideas,threads bio; threads profile,/blog/threads-bio-ideas,Threads Bio Ideas: What People See After One Reply,content,threads; bio; templates,threads-bio-preview; username-availability-checker,800,planned
CO-05,6,content-ops,templates,MOFU,call to action examples,cta examples social media; cta generator,/blog/call-to-action-examples,Call to Action Examples That Do Not Read as Commands,content,hooks; templates,cta-generator; headline-analyzer,800,planned
CO-06,6,content-ops,explainer,TOFU,title case,title case converter; capitalization rules,/blog/title-case-rules,"Title Case, Sentence Case, and Which One Ranks",content,titles; explainer,text-case-converter; headline-analyzer,800,planned
CO-07,6,content-ops,explainer,TOFU,emoji in captions,emoji social media; how emoji count characters,/blog/emoji-in-captions,"Emoji in Captions: Accessibility, Counting and Taste",content,captions; explainer,emoji-picker; social-media-character-counter,800,planned
CO-08,6,content-ops,howto,MOFU,content repurposing,repurpose video content; one video many posts,/blog/content-repurposing,"Content Repurposing: One Video, a Fortnight of Posts",content,repurposing; shorts; how-to; scripts,script-timer; social-image-resizer; safe-zone-guide,950,planned
AU-03,6,identity,comparison,BOFU,free creator tools,free social media tools; best free tools for creators,/blog/free-creator-tools,The Free Tools a Creator Actually Needs,growth,guide; comparison,social-image-resizer; engagement-rate-calculator; username-availability-checker; link-preview-debugger; hashtag-generator,950,planned
ID-01,6,identity,pillar,TOFU,username availability,check username availability; social media handle checker,/blog/username-availability,Username Availability Across Every Network at Once,growth,usernames; guide,username-availability-checker; handle-strength-checker,1200,planned
ID-02,6,identity,howto,MOFU,utm parameters,utm builder; how to use utm codes,/blog/utm-parameters-for-creators,"UTM Parameters for Creators, Without the Spreadsheet Mess",analytics,utm-tracking; how-to,utm-link-builder,950,planned
ID-03,6,identity,howto,TOFU,qr code generator,qr code for instagram bio; make a qr code free,/blog/qr-code-generator-for-bio,QR Code Generator for a Bio Link That Still Scans,growth,bio; how-to,qr-code-generator; utm-link-builder,800,planned
ID-04,6,identity,howto,MOFU,giveaway winner picker,random winner picker; comment picker,/blog/giveaway-winner-picker,Giveaway Winner Picker: A Draw Nobody Can Argue With,growth,giveaways; how-to,giveaway-winner-picker,800,planned
ID-05,6,identity,explainer,MOFU,best time to post,posting time zones; when to post on social media,/blog/best-time-to-post-timezones,"Best Time to Post, When Your Audience Is in Four Time Zones",growth,posting-schedule; explainer,posting-timezone-converter; engagement-rate-calculator,800,planned
PI-03,6,pinterest,troubleshooting,MOFU,rich pins not working,validate rich pins; rich pin validator,/blog/rich-pins-not-working,Rich Pins Not Working: What Is Missing From Your Markup,seo,pinterest; pinterest-seo; troubleshooting,rich-pin-validator; link-preview-debugger,800,planned
PI-04,6,pinterest,explainer,TOFU,pinterest board strategy,pinterest board names; how to organize pinterest boards,/blog/pinterest-board-strategy,Pinterest Board Strategy: Boards and Sections That Index,seo,pinterest; pinterest-seo; explainer,pinterest-pin-seo-checker,800,planned
PN-05,6,pro-networks,troubleshooting,MOFU,facebook link preview not updating,facebook debugger; clear facebook link cache,/blog/facebook-link-preview-not-updating,Facebook Link Preview Not Updating: Clearing the Cache,seo,facebook; link-previews; troubleshooting,link-preview-debugger; facebook-post-preview,800,planned
PN-06,6,pro-networks,explainer,MOFU,open graph tags,og tags; meta tags for social sharing,/blog/open-graph-tags,"Open Graph Tags, in the Order Platforms Read Them",seo,link-previews; explainer,link-preview-debugger,950,planned
